Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0402_1005Metric",40.050000,29.275000,0.000000,top
"C2","100n","C_0402_1005Metric",40.050000,28.300000,0.000000,top
"C6","100n","C_0402_1005Metric",41.600000,31.900000,90.000000,top
"C7","4u7","C_0402_1005Metric",42.750000,31.850000,90.000000,top
"C8","4u7","C_0402_1005Metric",1.120000,34.555000,90.000000,top
"C9","4u7","C_0402_1005Metric",4.070000,34.505000,90.000000,top
"C17","100n","C_0402_1005Metric",33.970000,35.410000,90.000000,top
"C18","100n","C_0402_1005Metric",40.510000,35.350000,90.000000,top
"C21","100n","C_0402_1005Metric",42.650000,3.750000,180.000000,top
"C22","100n","C_0402_1005Metric",46.565000,34.600000,90.000000,top
"C24","47u","C_0805_2012Metric",3.990000,10.230000,180.000000,top
"C25","22u","C_0805_2012Metric",3.090000,16.967497,0.000000,top
"C26","22u","C_0805_2012Metric",3.100000,24.830000,180.000000,top
"C27","47u","C_0805_2012Metric",3.100000,19.905000,180.000000,top
"C28","47u","C_0805_2012Metric",3.100000,32.530000,180.000000,top
"C29","47u","C_0805_2012Metric",3.100000,27.610000,180.000000,top
"C30","22u","C_0805_2012Metric",8.775002,3.850000,-90.000000,top
"C31","47u","C_0805_2012Metric",14.975002,3.756700,-90.000000,top
"C33","470n","C_0201_0603Metric",10.430000,24.670000,90.000000,top
"C34","4u7","C_0402_1005Metric",11.850000,24.530000,-90.000000,top
"C35","470n","C_0201_0603Metric",16.600000,39.275000,90.000000,top
"C36","4u7","C_0402_1005Metric",7.200000,40.350000,90.000000,top
"C37","470n","C_0201_0603Metric",16.000000,32.700000,0.000000,top
"C38","4u7","C_0402_1005Metric",16.350000,24.250000,180.000000,top
"C39","470n","C_0201_0603Metric",13.500000,22.620000,180.000000,top
"C40","4u7","C_0402_1005Metric",10.010000,27.040000,180.000000,top
"C41","470n","C_0201_0603Metric",17.900000,32.700000,180.000000,top
"C42","100u","C_1206_3216Metric",6.400000,19.300000,-90.000000,top
"C51","100u","C_1206_3216Metric",6.110000,7.170000,-90.000000,top
"C58","100u","C_1206_3216Metric",2.690000,7.630000,180.000000,top
"C70","4u7","C_0402_1005Metric",42.025000,39.475000,90.000000,top
"C71","4u7","C_0402_1005Metric",27.575000,38.500000,0.000000,top
"C73","47u","C_0805_2012Metric",23.275000,35.900000,180.000000,top
"C74","47u","C_0805_2012Metric",47.200000,31.600000,0.000000,top
"C75","47u","C_0805_2012Metric",47.700000,10.700000,180.000000,top
"C77","4u7","C_0402_1005Metric",44.975000,15.350000,0.000000,top
"C78","4u7","C_0402_1005Metric",42.825000,37.625000,0.000000,top
"C79","4u7","C_0402_1005Metric",48.730000,22.810000,180.000000,top
"C86","47u","C_0805_2012Metric",40.500000,1.900000,0.000000,top
"C88","4u7","C_0402_1005Metric",40.725000,3.750000,0.000000,top
"C93","100u","C_1206_3216Metric",17.200000,4.225000,-90.000000,top
"C100","470n","C_0201_0603Metric",29.550000,2.525000,-90.000000,top
"C107","470n","C_0201_0603Metric",33.475000,40.725000,-90.000000,top
"C108","470n","C_0201_0603Metric",31.300000,40.050000,0.000000,top
"C112","470n","C_0201_0603Metric",7.850000,25.370000,90.000000,top
"C114","470n","C_0201_0603Metric",11.290000,17.150000,0.000000,top
"C120","47n","C_0201_0603Metric",10.480000,8.030000,180.000000,top
"C121","47n","C_0201_0603Metric",8.890000,8.030000,180.000000,top
"C122","47n","C_0201_0603Metric",9.739998,17.150000,0.000000,top
"C123","4u7","C_0402_1005Metric",12.100000,6.400000,180.000000,top
"C128","4u7","C_0402_1005Metric",19.650000,5.995000,-90.000000,top
"C129","4u7","C_0402_1005Metric",23.500000,4.550000,90.000000,top
"C136","470n","C_0201_0603Metric",8.925000,41.225000,180.000000,top
"C141","4u7","C_0402_1005Metric",24.300000,34.025000,-90.000000,top
"C142","100n","C_0402_1005Metric",19.360000,34.450000,90.000000,top
"D2","LED_Small","LED_0603_1608Metric",47.300000,8.525000,0.000000,top
"L1","3u3","L_0806_2.0x1.6mm",42.360000,29.340000,0.000000,top
"L6","120R","L_0402_1005Metric",47.600000,34.600000,90.000000,top
"L8","120R","L_0402_1005Metric",20.380000,33.420000,-90.000000,top
"R1","10k","R_0402_1005Metric",10.250000,28.025000,0.000000,top
"R9","4k7","R_0402_1005Metric",37.200000,28.200000,180.000000,top
"R14","1k5","R_0402_1005Metric",31.510000,33.100000,0.000000,top
"R20","22R","R_0402_1005Metric",42.700000,34.500000,-90.000000,top
"R22","22R","R_0402_1005Metric",28.025000,29.875000,-45.000000,top
"R23","100k","R_0402_1005Metric",0.850000,23.325000,90.000000,top
"R25","28k7","R_0402_1005Metric",0.747500,13.362496,-90.000000,top
"R26","200k","R_0402_1005Metric",0.850000,21.450000,90.000000,top
"R28","100k","R_0402_1005Metric",6.700000,38.150000,0.000000,top
"R29","100k","R_0402_1005Metric",6.300000,36.900000,0.000000,top
"R32","100k","R_0402_1005Metric",6.300000,34.850000,0.000000,top
"R33","200k","R_0402_1005Metric",0.750000,29.090000,90.000000,top
"R34","44k2","R_0402_1005Metric",0.750000,30.990000,90.000000,top
"R35","100k","R_0402_1005Metric",13.990000,0.850000,0.000000,top
"R36","100k","R_0402_1005Metric",6.300000,35.900000,0.000000,top
"R37","200k","R_0402_1005Metric",11.850000,0.850000,180.000000,top
"R38","160k","R_0402_1005Metric",9.955001,0.850000,180.000000,top
"R39","10k","R_0402_1005Metric",16.250000,23.290000,180.000000,top
"R40","10k","R_0402_1005Metric",7.640000,27.470000,-90.000000,top
"R41","10k","R_0402_1005Metric",8.560000,23.520000,90.000000,top
"R42","10k","R_0402_1005Metric",10.375000,23.225000,180.000000,top
"R43","10k","R_0402_1005Metric",8.610000,27.470000,-90.000000,top
"R44","10k","R_0402_1005Metric",10.275000,30.150000,0.000000,top
"R45","240R","R_0402_1005Metric",13.520000,7.810000,0.000000,top
"R53","22R","R_0402_1005Metric",21.910000,17.670000,180.000000,top
"R56","22R","R_0402_1005Metric",21.910000,18.700001,180.000000,top
"R58","22R","R_0402_1005Metric",21.910000,19.700001,180.000000,top
"R61","22R","R_0402_1005Metric",21.910000,20.725001,180.000000,top
"R62","22R","R_0402_1005Metric",21.910000,21.730000,180.000000,top
"R66","22R","R_0402_1005Metric",22.040000,24.140000,180.000000,top
"R67","22R","R_0402_1005Metric",21.910000,22.740000,180.000000,top
"R74","10k","R_0402_1005Metric",25.550000,35.500000,-90.000000,top
"R75","10k","R_0402_1005Metric",26.520000,35.630000,90.000000,top
"R77","10k","R_0402_1005Metric",10.250000,29.000000,180.000000,top
"R78","100k","R_0402_1005Metric",7.150000,31.700000,180.000000,top
"R79","100k","R_0402_1005Metric",7.150000,32.700000,0.000000,top
"R84","100k","R_0402_1005Metric",10.275000,31.100000,0.000000,top
"R85","100k","R_0402_1005Metric",10.263650,32.000000,180.000000,top
"R86","10k","R_0402_1005Metric",17.500000,36.900000,180.000000,top
"R90","10k","R_0402_1005Metric",30.900000,34.600000,90.000000,top
"R91","330","R_0402_1005Metric",46.875000,6.900000,0.000000,top
"R94","10k","R_0402_1005Metric",29.880000,34.600000,-90.000000,top
"R95","22R","R_0402_1005Metric",20.975000,28.600000,0.000000,top
"R96","22R","R_0402_1005Metric",24.530000,29.140000,-45.000000,top
"R99","4k7","R_0402_1005Metric",43.000000,2.150000,-90.000000,top
"R100","10k","R_0402_1005Metric",17.190000,33.710000,180.000000,top
"U1","MT41K256M16TW-107_P","BGA96C80P9X16_1400X800X120",14.489998,12.600001,-90.000000,top
"U2","XC7Z020-CLG484","CLG484_XIL-L_new",32.899999,17.800000,0.000000,top
"U3","RTL8211F","RTL8211F-CG_RTK-L",37.260000,32.720000,-90.000000,top
"U4","MPM3834","MPM3834",3.175000,22.355000,-90.000000,top
"U6","MPM3834","MPM3834",3.070000,30.090000,-90.000000,top
"U8","TPSM82864","B0QFN_RDJ",3.252500,13.492499,0.000000,top
"U9","STM32G431CBUx","STM32G431CBU6",12.052000,36.800000,0.000000,top
"U10","MPM3822","QFN_2p5x3p5x1p6_MNP",11.925001,3.700000,90.000000,top
"U11","W25Q128JVS","WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm",15.675000,29.000000,0.000000,top
"U13","TPS7A20","TLV707",2.610000,34.535000,180.000000,top
"U14","BMI323","BMI323_BOS",41.750000,5.800000,0.000000,top
"X2","ASE-xxxMHz","Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm",44.670000,34.500000,90.000000,top
